file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,conflict_reference_ids,conflict_file_base_names,conflict_group_code,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 124X48 con manijas.svg,Mueble a piso Básico LVM 124X48 con manijas,A PISO,Básico,124X48,CON MANIJAS,NA,NA,1,93e4c896-a18c-4d0d-91e2-fa7073241753,BAN05,0061,c6aeed62-640d-4d13-8107-399c383994f4,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/6608fd6d-7fe3-4731-9dc0-a4e1730fbe40.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 124X48 con manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 con manijas.svg,Mueble a piso Básico LVM 40X30 con manijas,A PISO,Básico,40X30,CON MANIJAS,NA,NA,3,186503ab-aac5-44cc-8b7b-a810296125a9,BAN05,0108,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=38a28368-1f30-4649-8d82-a7f1d422bc94; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=4de530d4a02bef4541521c3245817137448b8000e5dc326f1789b95f0543d19b
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 sin manijas.svg,Mueble a piso Básico LVM 40X30 sin manijas,A PISO,Básico,40X30,NA,NA,NA,1,aa5d1a9d-5c9f-4599-9fa7-b238ad3eaa75,BAN05,0111,2bf4c5df-b8c9-46b7-8b31-b8ab2ee520a4,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/228a02c4-cc4c-4dc6-8946-ce1bf9a0365b.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48x38 con manija negra 128.svg,Mueble a piso Básico LVM 48x38 con manija negra 128,A PISO,Básico,48X38,MANIJA NEGRA 128,NA,NA,1,4a38333d-e5da-4416-84c5-9d4c45f5abbf,BAN05,0097,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=967e1f04-636e-4290-b52a-34c4bc5a37f8; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=b063e2d1678ec72c4f6bde9444913b1ed7cd590e29c349e6bd21571161e08cec
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48x38 con manijas.svg,Mueble a piso Básico LVM 48x38 con manijas,A PISO,Básico,48X38,CON MANIJAS,NA,NA,2,620a9cf4-51a6-4884-a2ef-eb95a39299b4,BAN05,0002,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=5618e29f-d8ba-487e-8957-9ee90c013207; updated_refs=2; overwritten_refs=2; skipped_refs=0; hash=d3776713df9c23062c7cbc0092fabf3ff64a8d6824595b5dcfd6348c1932ab5a
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48X43 con manijas.svg,Mueble a piso Básico LVM 48X43 con manijas,A PISO,Básico,48X43,CON MANIJAS,NA,NA,1,e528e938-673a-4a9d-a7be-fb81a1f71e61,BAN05,0110,62b77c23-eb58-4264-8846-a7849ec4f3e6,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/250f475b-bd79-46f2-853c-685435c927e9.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48X43 con manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63x48 con manijas.svg,Mueble a piso Básico LVM 63x48 con manijas,A PISO,Básico,63X48,CON MANIJAS,NA,NA,3,4aa70d97-c24c-4675-8faf-88a0a7eaedc3,BAN05,0092,a142ea8e-8f6e-4930-94b1-bf2f79744d63,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/96522d69-522c-4961-91cd-60eee7919e28.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63x48 con manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63X48 manija negra.svg,Mueble a piso Básico LVM 63X48 manija negra,A PISO,Básico,63X48,manija negra,NA,NA,0,,,,,,,,,NO_MATCH,specific_accessory_not_found: desired=MANIJA NEGRA; raw_parts=Mueble a piso Básico LVM | 63X48 | manija negra
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 79x48 con manijas.svg,Mueble a piso Básico LVM 79x48 con manijas,A PISO,Básico,79X48,CON MANIJAS,NA,NA,2,2ca71341-4991-460c-95ec-805f98c1cb1f,BAN05,0099,af6072aa-b099-4fec-aa2f-6d82fa0aec10,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/3e2657fb-26a7-4029-8b58-012660df2bc1.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 79x48 con manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 94x48 con manija.svg,Mueble a piso Básico LVM 94x48 con manija,A PISO,Básico,94X48,CON MANIJAS,NA,NA,2,418e2d7c-dd01-46e9-83b3-d13fcd5c1ec6,BAN05,0101,df06ea61-2ace-472c-9db4-cd1a7e53d3ab,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/80748bb7-7d73-496e-ac06-826d90631e6e.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 94x48 con manija.svg'"
