file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra ambar COC 120x55CM.svg,Mueble barra ambar COC 120x55CM,NA,COC,120X55,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble barra ambar COC | 120X55 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra melamina para cocina Dos Constructores COC 150CM.svg,Mueble barra melamina para cocina Dos Constructores COC 150CM,,,,,,,0,,,,,,SKIP,parse_failed: expected at least 3 parts (designation/name/measure).
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra para cocina Dos Constructores COC 120CM.svg,Mueble barra para cocina Dos Constructores COC 120CM,,,,,,,0,,,,,,SKIP,parse_failed: expected at least 3 parts (designation/name/measure).
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra para cocina Dos Constructores COC 120x50CM.svg,Mueble barra para cocina Dos Constructores COC 120x50CM,NA,COC,120X50,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble barra para cocina Dos Constructores COC | 120X50 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra para cocina Dos Constructores COC 150CM.svg,Mueble barra para cocina Dos Constructores COC 150CM,,,,,,,0,,,,,,SKIP,parse_failed: expected at least 3 parts (designation/name/measure).
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra para cocina Dos Constructores COC 150X50CM.svg,Mueble barra para cocina Dos Constructores COC 150X50CM,NA,COC,150X50,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble barra para cocina Dos Constructores COC | 150X50 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra para cocina Dos Constructores COC 180x50CM.svg,Mueble barra para cocina Dos Constructores COC 180x50CM,NA,COC,180X50,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble barra para cocina Dos Constructores COC | 180X50 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble barra para cocina Geos COC 160X90CM.svg,Mueble barra para cocina Geos COC 160X90CM,NA,COC,160X90,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble barra para cocina Geos COC | 160X90 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble Estructura para cocina Obra COC 150X55CM.svg,Mueble Estructura para cocina Obra COC 150X55CM,NA,COC,150X55,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble Estructura para cocina Obra COC | 150X55 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble estructura para cocina Obra con Rebanco COC 150x55CM.svg,Mueble estructura para cocina Obra con Rebanco COC 150x55CM,NA,COC,150X55,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble estructura para cocina Obra con Rebanco COC | 150X55 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble inferior para cocina Agata COC 180X60CM.svg,Mueble inferior para cocina Agata COC 180X60CM,NA,COC,180X60,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble inferior para cocina Agata COC | 180X60 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble inferior para cocina Ambar COC 120x55CM.svg,Mueble inferior para cocina Ambar COC 120x55CM,NA,COC,120X55,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble inferior para cocina Ambar COC | 120X55 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles COC\Mueble inferior para cocina Ambar COC 150x55CM.svg,Mueble inferior para cocina Ambar COC 150x55CM,NA,COC,150X55,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble inferior para cocina Ambar COC | 150X55 | 
