file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Kit mueble elevado basico 48x38 - LVM Eco 48x38CM.svg,Kit mueble elevado basico 48x38 - LVM Eco 48x38CM,ELEVADO,basico,48X38,NA,NA,NA,3,3cfd4665-0903-4f7e-bf75-f469580aea69,BAN05,0121,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 124X48 con manijas.svg,Mueble a piso Básico LVM 124X48 con manijas,A PISO,Básico,124X48,CON MANIJAS,NA,NA,1,93e4c896-a18c-4d0d-91e2-fa7073241753,BAN05,0061,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 con manijas.svg,Mueble a piso Básico LVM 40X30 con manijas,A PISO,Básico,40X30,CON MANIJAS,NA,NA,3,186503ab-aac5-44cc-8b7b-a810296125a9,BAN05,0108,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 40X30 sin manijas.svg,Mueble a piso Básico LVM 40X30 sin manijas,A PISO,Básico,40X30,NA,NA,NA,1,aa5d1a9d-5c9f-4599-9fa7-b238ad3eaa75,BAN05,0111,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48x38 con manija negra.svg,Mueble a piso Básico LVM 48x38 con manija negra,A PISO,Básico,48X38,CON MANIJAS,NA,NA,2,620a9cf4-51a6-4884-a2ef-eb95a39299b4,BAN05,0002,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48x38 con manijas.svg,Mueble a piso Básico LVM 48x38 con manijas,A PISO,Básico,48X38,CON MANIJAS,NA,NA,2,620a9cf4-51a6-4884-a2ef-eb95a39299b4,BAN05,0002,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 48X43 con manijas.svg,Mueble a piso Básico LVM 48X43 con manijas,A PISO,Básico,48X43,CON MANIJAS,NA,NA,1,e528e938-673a-4a9d-a7be-fb81a1f71e61,BAN05,0110,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63x48 con manijas.svg,Mueble a piso Básico LVM 63x48 con manijas,A PISO,Básico,63X48,CON MANIJAS,NA,NA,3,4aa70d97-c24c-4675-8faf-88a0a7eaedc3,BAN05,0092,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 63X48 manija negra.svg,Mueble a piso Básico LVM 63X48 manija negra,A PISO,Básico,63X48,manija negra,NA,NA,3,4aa70d97-c24c-4675-8faf-88a0a7eaedc3,BAN05,0092,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble a piso Básico LVM 79x48 con manija.svg,Mueble a piso Básico LVM 79x48 con manija,A PISO,Básico,79X48,CON MANIJAS,NA,NA,2,2ca71341-4991-460c-95ec-805f98c1cb1f,BAN05,0099,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
