SKU,Description,Observation,Isometric
VBAN05-0029-CME-0100,RH MUEBLE BASICO PISO LVM 48X38 BLANCO - MANIJA NEGRA,,
VBAN05-0059-000-0100,MUEBLE BASICO PISO LVM 79X48 BLANCO,,
VBAN05-0060-000-0100,MUEBLE BASICO PISO LVM 94X48 BLANCO,,
VBAN05-0081-000-0100,RH MUEBLE SOPORTE 48X43 BLANCO,,
VBAN05-0082-000-0100,RH MUEBLE SOPORTE 40X30 BLANCO,,
VBAN05-0083-000-0100,RH MUEBLE SOPORTE 63x48 BLANCO,,
VBAN05-0084-000-0100,RH MUEBLE SOPORTE 48X38 BLANCO,,
VCOC01-0037-000-0100,RH MUEBLE INFERIOR COCINA 150CM 2 PUERTAS VIVE BLANCO,,
VCOC01-0041-000-0100,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO,,
VCOC01-0041-000-1306,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM CARBONO/BLANCO RH,,
VCOC01-0043-000-0100,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO,,
VCOC01-0043-000-1306,MUEBLE INFERIOR COCINA AMBAR 180X60CM CANTO 2MM 1C 5P CARBONO/BLANCO RH,,
VCOC01-0044-000-0100,RH MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO,,
VCOC01-0044-KND-0100,RH MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO-KENNEDY,,
VCOC01-0045-000-0100,RH MUEBLE INFERIOR COCINA AMBAR 180x55CM CANTO 2MM BLANCO,,
VCOC01-0050-MRH-0100,RH MUEBLE INFERIOR COCINA AMBAR 150x60CM CANTO 2MM 1C 4P BLANCO,,
VCOC01-0050-RFM-0100,RH MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO-FERMETAL,,
VCOC01-0060-KND-0100,RH MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO-KENNEDY,,
VCOC01-0060-RFM-0100,RH MUEBLE INFERIOR COCINA AMBAR 180X60CM CANTO 2MM 1C 5P BLANCO-FERMETAL,,
VCOC01-0061-000-0100,RH MUEBLE INFERIOR COCINA AMBAR 150X55CM CANTO 2MM 1C 4P BLANCO,,
VCOC01-0062-000-0100,RH MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO,,
VCOC01-0063-000-0100,RH MUEBLE INFERIOR COCINA AMBAR 150x60CM CANTO 2MM 1C 4P BLANCO,,
VCOC01-0064-000-0100,MUEBLE BARRA COCINA AMBAR 120x55CM CANTO 2MM BLANCO,,
VCOC01-0065-000-0100,RH MUEBLE BARRA COCINA AMBAR 120x55CM CANTO 2MM BLANCO,,
VCOC01-0065-RFM-0100,RH MUEBLE BARRA COCINA AMBAR 120X55CM CANTO 2MM BLANCO-FERMETAL,,
VCOC01-0066-000-0100,RH MUEBLE ALACENA AMBAR 60CM CANTO 2MM BLANCO,,
VCOC01-0067-000-0100,RH MUEBLE ALACENA AMBAR 60CM CANTO 2MM BLANCO,,
VCOC01-0067-RFM-0100,RH MUEBLE ALACENA AMBAR 60CM CANTO 2MM BLANCO-FERMETAL,,
VCOC01-0074-MRH-0100,RH MUEBLE INFERIOR COCINA VIVE 150X55 CON ESPALDAR BLANCO,,
VCOC01-0075-MRH-0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO P BASCULANTES 53X36.5CM BLANCO,,
VCOC01-0076-MRH-0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO MOVIL 30X36.5CM BLANCO,,
VCOC01-0077-MRH-0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO LOCERO 64X36.5CM BLANCO,,
VCOC01-0078-MRH-0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO CUBO AUXILIAR 83X20CM BLANCO,,
VCOC01-0079-MRH-0100,RH MBLE SUP COCINA GEOS 210X60CM MODULO PARA CAMPANA 630X45CM BLANCO,,
VCOC01-0080-MRH-0100,RH MBLE INF COCINA GEOS 210X60CM MODULO LAVAPLATOS 91X59CM BLANCO,,
VCOC01-0081-MRH-0100,RH MBLE INF COCINA GEOS 210X60CM MODULO HORNO 72.2X59CM BLANCO,,
VCOC01-0082-MRH-0100,RH MBLE INF COCINA GEOS 210X60CM MODULO CAJONES 44.8X59CM BLANCO,,
VCOC01-0083-MRH-0100,RH MUEBLE BARRA COCINA GEOS 160X90 BLANCO,,
VCOC01-0084-RFM-0100,RH MUEBLE SUPERIOR COCINA 80CM PARA CAMPANA BLANCO-FERMETAL,,
VCOC01-0085-RFM-0100,RH MUEBLE SUPERIOR COCINA 70CM BLANCO-FERMETAL,,
VCOC01-0086-RFM-0100,RH MUEBLE SUPERIOR COCINA 40CM BLANCO-FERMETAL,,
VCOC01-0087-RFM-0100,RH MUEBLE SUPERIOR COCINA 110CM BLANCO-FERMETAL,,
VCOC01-0088-RFM-0100,RH MUEBLE INFERIOR COCINA 55CM BLANCO-FERMETAL,,
VCOC01-0089-RFM-0100,RH MUEBLE SUPERIOR COCINA 55CM BLANCO-FERMETAL,,
VCOC01-0090-MRH-0100,RH MUEBLE INFERIOR COCINA AMBAR 120X55CM CANTO 2MM 1C 4P BLANCO,,
VCOC01-0091-MRH-0100,RH MUEBLE SUPERIOR COCINA AMBAR 120CM PARA CAMPANA CANTO 2MM BLANCO,,
VCOC01-0095-000-0100,RH MBLE INF 70 COC GEOS 2P 1 ENTREPA�O BLANCO,,
VCOC01-0098-MRH-0100,MBLE SUP COCINA GEOS MODULO CUBO AUXILIAR OPEN SHELF 53X20CM BLANCO,,
VCOC01-0099-000-0100,RH MBLE INF 65 COC GEOS 2P 1 ENTREPA�O BLANCO,,
VCOC01-0112-MRH-0100,RH MBLE INF COCINA ZAFIRO 180X60 BLANCO,,
VCOC01-0114-MRH-0100,RH MBLE SUP COCINA ZAFIRO 180X60 PARA CAMPANA BLANCO,,
VCOC01-0115-MRH-0100,RH MBLE SUP COCINA ZAFIRO 180X60 PARA MICROONDAS BLANCO,,
VCOC01-0116-MRH-0100,RH MUEBLE BARRA COCINA ZAFIRO 140X60CM CANTO 2MM BLANCO,,
VCOC01-0117-000-0100,KIT PUERTAS COCINA OBRA 150X55CM BLANCO RH/SODER,,
VCOC01-0117-MRH-0100,RH KIT PUERTAS COCINA OBRA 150X55CM BLANCO,,
VCOC01-0118-MRH-0100,RH ESTRUCTURA COCINA OBRA 150X55CM BLANCO,,
VCOC01-0119-MRH-0100,RH MUEBLE INFERIOR COCINA 150CM 4 PUERTAS VIVE BLANCO,,
VCOC01-0120-000-0321,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/SODER MALI,,
VCOC01-0120-000-0322,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/NOLA-GRACIA,,
VCOC01-0120-000-0323,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/AUSTRAL,,
VCOC01-0120-000-0324,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/MITTE-TAMBO,,
VCOC01-0120-000-1353,MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO RH/GRACIA-SIKUANI,,
VCOC01-0120-MRH-0100,ESTRUCTURA COCINA OBRA CON REBANCO 150X55CM BLANCO RH,,
VCOC01-0121-000-0321,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/SODER-MALI,,
VCOC01-0121-000-0322,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/GRACIA-NOLA,,
VCOC01-0121-000-0323,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/AUSTRAL,,
VCOC01-0121-000-0324,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/MITTE-TAMBO,,
VCOC01-0121-000-1353,MUEBLE INFERIOR COCINA AMBAR 150x55CM CANTO 2MM 1C 4P BLANCO RH/GRACIA-SIKUANI,,
VCOC01-0122-000-0321,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/SODER-MALI,,
VCOC01-0122-000-0322,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/NOLA-GRACIA,,
VCOC01-0122-000-0323,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/AUSTRAL,,
VCOC01-0122-000-0324,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/MITTE-TAMBO,,
VCOC01-0123-000-0321,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/SODER-MALI,,
VCOC01-0123-000-0322,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/NOLA-GRACIA,,
VCOC01-0123-000-0323,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/AUSTRAL,,
VCOC01-0123-000-0324,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/MITTE-TAMBO,,
VCOC01-0124-000-0321,MUEBLE INFERIOR COCINA AMBAR 180x55CM CANTO 2MM 1C 5P BLANCO RH/SODER-MALI,,
VCOC01-0124-000-0322,MUEBLE INFERIOR COCINA AMBAR 180x55CM CANTO 2MM 1C 5P BLANCO RH/NOLA-GRACIA,,
VCOC01-0125-000-0321,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/SODER-MALI,,
VCOC01-0125-000-0322,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/NOLA-GRACIA,,
VCOC01-0125-000-0323,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/AUSTRAL,,
VCOC01-0125-000-0324,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/MITTE-TAMBO,,
VCOC01-0126-MRH-0100,RH MUEBLE SUPERIOR COCINA AGATA 180X60CM CANTO 2MM BLANCO,,
VCOC01-0127-MRH-0100,RH MUEBLE INFERIOR COCINA AGATA 180X60CM CANTO 2MM 5P BLANCO,,
VCOC01-0129-MRH-0100,RH MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO,,
VCOC01-0130-MRH-0100,RH MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM 4P BLANCO,,
