"CÃ³digo","Nombre SAP","Nombre Final ES","Nombre Final EN"
"VBAN05-0001-000-0387","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CHANTILLI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0437","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS SODER/MALI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0439","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS MITTE/TAMBO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0442","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS GRACIA/SIKUANI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0447","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CARBONO/BAUDO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0458","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS TRIBECA","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0467","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CINZA COBALTO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0475","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS LUNAR","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-0493","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS AUSTRAL","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0001-000-1345","MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS VOLCANICO AMAZONAS","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48x38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0437","MUEBLE BASICO PISO LVM 48X38 SODER/MALI","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0439","MUEBLE BASICO PISO LVM 48X38 MITTE/TAMBO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0442","MUEBLE BASICO PISO LVM 48X38 GRACIA/SIKUANI","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0447","MUEBLE BASICO PISO LVM 48X38 CARBONO/BAUDO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0458","MUEBLE BASICO PISO LVM 48X38 TRIBECA","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0467","MUEBLE BASICO PISO LVM 48X38 CINZA COBALTO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-0493","MUEBLE BASICO PISO LVM 48X38 AUSTRAL","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-000-1345","MUEBLE BASICO PISO LVM 48X38 VOLCANICO AMAZONAS","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0002-DAC-0439","MUEBLE BASICO PISO LVM 48X38 D-ACQUA MITTE/TAMBO","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM D-ACQUA","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND D-ACQUA"
"VBAN05-0002-FMT-0437","MUEBLE BASICO PISO LVM 48X38 SODER/MALI-FERMETAL","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM FERMETAL","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND FERMETAL"
"VBAN05-0002-FMT-0439","MUEBLE BASICO PISO LVM 48X38 MITTE/TAMBO-FERMETAL","MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM FERMETAL","BASIC ESSENTIAL 19INX15IN FREESTANDING VANITY WITH HANDLES 2MM EDGE BAND FERMETAL"
"VBAN05-0003-000-0100","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS BLANCO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0392","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS WENGUE","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0437","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS SODER/MALI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0439","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS MITTE/TAMBO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0442","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS GRACIA/SIKUANI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0447","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS CARBONO/BAUDO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0457","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS COCUY","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0458","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS TRIBECA","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-0467","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS CINZA COBALTO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
