"CÃ³digo Completo";"Familia";"Referencia";"VersiÃ³n";"Color";"Nombre SAP";"Nombre Final ES";"Nombre Final EN";"Mueble";"DesignaciÃ³n";"LÃ­nea Comercial";"Medida Comercial";"Ancho (cm)";"Fondo (cm)";"Alto (cm)";"Peso (kg)";"Canto Puertas";"RH";"Armado";"Marca Propia"
"VBAN05-0001-000-0387";"VBAN05";"0001";"000";"0387";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CHANTILLI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0437";"VBAN05";"0001";"000";"0437";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS SODER/MALI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0439";"VBAN05";"0001";"000";"0439";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS MITTE/TAMBO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0442";"VBAN05";"0001";"000";"0442";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS GRACIA/SIKUANI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0447";"VBAN05";"0001";"000";"0447";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CARBONO/BAUDO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0458";"VBAN05";"0001";"000";"0458";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS TRIBECA";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0467";"VBAN05";"0001";"000";"0467";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CINZA COBALTO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0475";"VBAN05";"0001";"000";"0475";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS LUNAR";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-0493";"VBAN05";"0001";"000";"0493";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS AUSTRAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0001-000-1345";"VBAN05";"0001";"000";"1345";"MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS VOLCANICO AMAZONAS";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48x38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48x38";"46,8";"37,4";"48";"9";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0002-000-0437";"VBAN05";"0002";"000";"0437";"MUEBLE BASICO PISO LVM 48X38 SODER/MALI";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0002-000-0439";"VBAN05";"0002";"000";"0439";"MUEBLE BASICO PISO LVM 48X38 MITTE/TAMBO";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0002-000-0442";"VBAN05";"0002";"000";"0442";"MUEBLE BASICO PISO LVM 48X38 GRACIA/SIKUANI";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0002-000-0447";"VBAN05";"0002";"000";"0447";"MUEBLE BASICO PISO LVM 48X38 CARBONO/BAUDO";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0002-000-0458";"VBAN05";"0002";"000";"0458";"MUEBLE BASICO PISO LVM 48X38 TRIBECA";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0002-000-0467";"VBAN05";"0002";"000";"0467";"MUEBLE BASICO PISO LVM 48X38 CINZA COBALTO";"MUEBLE A PISO BASICO ESSENTIAL PARA LAVAMANOS 48X38 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL FREESTANDING VANITY 19INX15IN WITH HANDLES 2MM EDGE BAND";"BASICO";"A PISO";"ESSENTIAL";"48X38";"47,4";"37,4";"86";"14";"CANTO 2 MM";"NA";"NO";"NA"
