COD-COLOR,Cod_color_completo4dig,Color SAP
0,0000,SIN COLOR
1,0001,GRIS POLAR OSCURO
24,0024,CROMADO
25,0025,ACCESORIOS GRISES
56,0056,DESDREN BLUE
100,0100,BLANCO 
101,0101,PERLA
102,0102,HUESO
103,0103,MARFIL
107,0107,BEIGE
108,0108,BEIGE
109,0109,TRIGO
110,0110,AZUL 
111,0111,AZUL 
112,0112,ORO
113,0113,ORO ROSA
114,0114,AZUL 
115,0115,AZUL 
116,0116,AZUL 
117,0117,SAGANO FOREST-BLANCO NEVADO
118,0118,AZUL OSCURO 
123,0123,LILA 
125,0125,ROSA BAHAMA
129,0129,VINOTINTO 
133,0133,AMARILLO 
141,0141,VERDE 
147,0147,VERDE 
148,0148,VERDE 
149,0149,VERDE OSCURO 
150,0150,GRIS 
155,0155,GRIS 
160,0160,NEGRO 
180,0180,CURUBA 
181,0181,NATURAL SATINADO
182,0182,BLANCO SATINADO
300,0300,NATURAL
311,0311,AZUL PISCINA 
312,0312,AMARILLO
313,0313,GRIS Z1
314,0314,BLANCO RH/AMBAR SOFT
315,0315,BLANCO RH/POLAR RUSTIK
320,0320,ROJO MARLBORO
321,0321,BLANCO RH/MALI
322,0322,BLANCO RH/NOLA-GRACIA
323,0323,BLANCO RH/AUSTRAL
324,0324,BLANCO RH/MITTE-TAMBO
325,0325,CANDELARIA AMAZONAS-POLAR SOFT
326,0326,BLANCO RH/FLORMORADO
327,0327,CANDELARIA AMAZONAS-POLAR RUSTIK
341,0341,BLANCO/KRAFT
347,0347,VERDE GRANITO
348,0348,GREEN STONE
350,0350,LADRILLO 
351,0351,CINZA-AUSTRAL
360,0360,BLACK STONE
361,0361,MACANA
362,0362,OKUME
363,0363,VOLCANO
364,0364,HUMO
365,0365,WENGUE - BLANCO POLAR
366,0366,WENGUE - LINO LATTE
367,0367,GLACIAL
368,0368,TABACO CHIC
369,0369,OCASO
370,0370,NIEVE
371,0371,ARENA
372,0372,SALVAJE
373,0373,BLANCO BRILLANTE
380,0380,WHITE AND PEPPER
381,0381,WHITE STONE 381
382,0382,BONE AND PEPPER
383,0383,SAND STONE 
386,0386,CRISTALO
387,0387,CHANTILLI
388,0388,CAPUCCINO
389,0389,ROBLE OSCURO
390,0390,CEDRO
391,0391,MANZANO
392,0392,WENGUE
393,0393,CAOBA
394,0394,ROBLE MALLADO
395,0395,LATTE-NUEZ
396,0396,SERENA
397,0397,NUEZ
398,0398,LINO LATTE
400,0400,MACANA-ROBLE
401,0401,OLIVO MATE
402,0402,BRIXTON
403,0403,ROBLE MALLADO INTERIOR BLANCO
404,0404,AVELLANA
405,0405,SODER (DESOCNTINUADO)
406,0406,AMARETTO
407,0407,BLANCO POLAR TABACO CHIC
408,0408,BLANCO POLAR
409,0409,NATURAL CLARO
410,0410,DOLOMITA
