Codigo;Descripcion;Codigo C;Tipo de producto;Nombre Color;Armado;Clientes marca propia;RH;Designacion;Nombre mueble;Linea;Hogar;Medida;Accesorio;Color puertas;Canto;Riel;DESCRIPCION FINAL;NAME CABINET;DESIGNATION;HOME;MEASURE;ACCESORIES;INGLES;ISOMETRICO;FONDO;ALTO;ANCHO;PESO;;D;H;W;Wg;ICON 1;ICON2;ICON3;ICON4;DESCRIPCION INGLES
VBAN05-0001-000-0387;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CHANTILLI;0387;MUEBLE;CHANTILLI;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;BASIC;ELEVATE;WASHBASIN;48X38;HANDLELESS;BASIC ELEVATE FOR WASHBASIN HANDLELESS 14,7244094488189 X 18,8976377952756;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo RH.ai;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CANTO 2mm.ai;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo RIEL FULL EXTENSION.ai;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0437;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS SODER/MALI;0437;MUEBLE;SODER/MALI;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0439;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS MITTE/TAMBO;0439;MUEBLE;MITTE/ TAMBO;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0442;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS GRACIA/SIKUANI;0442;MUEBLE;GRACIA/ SIKUANI;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0447;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CARBONO/BAUDO;0447;MUEBLE;CARBONO/ BAUDO;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0458;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS TRIBECA;0458;MUEBLE;TRIBECA;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0467;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS CINZA COBALTO;0467;MUEBLE;CINZA COBALTO;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0475;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS LUNAR;0475;MUEBLE;LUNAR;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-0493;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS AUSTRAL;0493;MUEBLE;AUSTRAL;;;;ELEVADO;BASICO;;LAVAMANOS;48X38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48X38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
VBAN05-0001-000-1345;MUEBLE BASICO ELEVADO LVM 48X38 CON MANIJAS VOLCANICO AMAZONAS;1345;MUEBLE;VOLCANICO AMAZONAS;;;;ELEVADO;BASICO;;LAVAMANOS;48x38;CON MANIJAS;;;;MUEBLE BASICO ELEVADO CON MANIJAS PARA LAVAMANOS 48x38;;;;;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ISOMETRICOS MUEBLES LVM\ISOMETRICO MUEBLE BASICO ELEVADO LVM 48X38 MANIJAS.ai;37,4;48;46,8;9;;14,7;18,9;18,4;19,8;;;C:\Users\aprendizdiseno\FIRPLAK SA\FIRPLAK - I+D - Documentos técnicos productos\Etiquetas\Etiquetas Muebles Data Merge\Isometricos Muebles Data Merge\ICONOS\Simbolo CIERRE LENTO.ai;;"Basic Raised Cabinet for Washbasin with Handles 18,9x14,9"""
